group_name,code4,n_tickers,fast_ma,slow_ma,train_return_pct,train_sharpe,train_max_dd_pct,train_win_rate_pct,train_num_trades,test_return_pct,test_sharpe,test_max_dd_pct,test_win_rate_pct,test_num_trades
鉄鋼/鉄鋼,2501,30,20,25,21.52,0.176,-74.1,43.84,146.0,-8.58,-0.027,-40.14,41.38,29
非鉄金属,2550,4,25,100,40.41,0.163,-46.58,31.43,35.0,107.13,0.471,-21.92,28.57,7
非鉄金属/設備機器・部品,2551,8,20,100,115.24,0.228,-57.57,40.54,37.0,62.4,0.456,-55.83,57.14,7
非鉄金属/非鉄金属・金属製品,2552,21,25,100,-26.0,0.035,-59.91,38.24,34.0,-5.93,0.137,-52.93,25.0,8
金属製品,2600,17,20,25,172.36,0.245,-50.35,40.25,159.0,47.73,0.422,-29.51,51.85,27
金属製品/住宅設備・機器,2601,11,20,25,1.71,0.082,-54.02,45.86,157.0,10.56,0.216,-19.22,34.48,29
金属製品/建設・土木,2602,6,10,100,956.83,0.4,-12.49,45.71,35.0,64.5,0.766,-4.34,33.33,12
金属製品/建設関連製品・設備,2603,13,20,75,-32.71,-0.066,-48.45,46.51,43.0,29.81,0.362,-20.56,42.86,7
金属製品/産業機械,2604,10,25,50,97.29,0.252,-32.51,45.28,53.0,-38.33,-0.967,-41.1,26.67,15
金属製品/自動車部品,2605,11,5,50,11.59,0.118,-59.44,38.71,93.0,-25.44,-0.403,-35.23,29.41,17
金属製品/設備機器・部品,2606,8,20,50,123.7,0.233,-38.05,37.5,64.0,66.89,0.669,-15.25,54.55,11
金属製品/電子部品・産業用電子機器,2607,4,25,75,141.25,0.258,-55.04,51.35,37.0,-28.59,-0.556,-34.53,20.0,5
金属製品/非鉄金属・金属製品,2608,8,20,100,232.84,0.273,-54.07,36.84,38.0,105.91,0.511,-20.21,50.0,6
機械,3050,27,10,75,1102.95,0.421,-46.79,44.26,61.0,26.69,0.34,-19.18,33.33,9
機械/アパレル・アクセサリー,3051,3,25,100,490.02,0.348,-31.46,54.55,33.0,-14.01,-0.611,-14.01,33.33,3
機械/娯楽用品,3052,10,5,25,-99.28,-0.077,-99.64,36.43,129.0,-59.7,-0.732,-61.6,35.71,28
機械/建設農業機械・産業車両,3053,19,5,50,90.11,0.228,-47.31,40.96,83.0,-13.02,-0.032,-40.21,40.0,20
機械/燃料・資源,3054,4,20,25,9.18,0.133,-59.7,48.25,143.0,81.22,0.52,-45.13,40.74,27
機械/産業機械,3055,82,25,100,163.81,0.274,-31.84,45.45,33.0,-17.01,-0.359,-26.06,42.86,7
機械/自動車部品,3056,11,20,50,320.16,0.365,-27.83,44.83,58.0,36.25,0.723,-8.19,58.33,12
機械/設備機器・部品,3057,41,20,75,1625.09,0.535,-27.84,72.97,37.0,1.17,0.1,-32.64,50.0,6
機械/電子デバイス製造装置,3058,19,20,100,732.44,0.366,-51.39,57.69,26.0,135.64,0.427,-23.5,50.0,4
電気機器,3100,32,10,75,2217.48,0.481,-75.3,46.34,41.0,60.78,0.823,-6.24,85.71,7
