Date,phase_name,ret5,dd20,vol10,major_crash,post_major_crash_mode
2022-09-30,normal,-0.0448046974266478,-0.0935682146323337,0.0118878020738206,False,False
2022-10-03,normal,-0.0081630366880727,-0.0838327011333458,0.0128905767237037,False,False
2022-10-04,high_vol,0.015819052647386,-0.0566989638918737,0.0169205883760164,False,False
2022-10-05,high_vol,0.0361637324997288,-0.0522146020279862,0.0169365709857951,False,False
2022-10-06,high_vol,0.033655601049372,-0.0455476809933401,0.0166163962124202,False,False
2022-10-07,high_vol,0.0454520125676098,-0.0523690657321214,0.0166737968710014,False,False
2022-10-11,high_vol,0.0070743984496461,-0.0773513686146271,0.0166319899796358,False,False
2022-10-12,high_vol,-0.0220575061729324,-0.0775058323187622,0.0165279612911033,False,False
2022-10-13,crash,-0.0325623945363691,-0.0830767640925606,0.0158900244918347,False,False
2022-10-14,normal,-0.0080750828161362,-0.0281659105020813,0.0187702413157098,False,False
2022-10-17,high_vol,-0.0125504845770301,-0.0394649389951252,0.0180402790160219,False,False
2022-10-18,normal,0.0285929880214004,-0.0192238957071897,0.0182306155781784,False,False
2022-10-19,normal,0.0326005349393501,-0.0155674850250108,0.0158163960030206,False,False
2022-10-20,normal,0.0293299043090515,-0.0112096238051709,0.0160699639642241,False,False
2022-10-21,normal,-0.0073892238250919,-0.0154046380468936,0.0158938208164356,False,False
2022-10-24,normal,0.0074362450219576,-0.0123172599254572,0.0158158865552066,False,False
2022-10-25,normal,0.0034665703486722,-0.0022342943261381,0.0131518229244619,False,False
2022-10-26,normal,0.0064004309612526,0.0,0.0131321286524626,False,False
2022-10-27,normal,0.0125256335823142,-0.0031569012457154,0.0129189218386283,False,False
2022-10-28,stable,0.0079812015955575,-0.0119073538946175,0.0088142507759132,False,False
2022-10-31,normal,0.0227085378631421,0.0,0.0093622790538121,False,False
2022-11-01,normal,0.0157297699715377,0.0,0.0085128202952193,False,False
2022-11-02,normal,0.0084409497346478,-0.0005610514036975,0.0085208295474025,False,False
2022-11-04,normal,-0.0053208528706614,-0.017312080415439,0.0098156144315696,False,False
2022-11-07,normal,0.0155852536939766,-0.0054655057820894,0.0102327909014083,False,False
2022-11-08,normal,0.0103180368119006,0.0,0.0107264010759129,False,False
