horizon,threshold,limit,take_profit,stop_loss,final_capital,profit,orders,fills,fill_rate
30,0.7,-0.03,0.05,0.2,3002279.4250000017,2279.4250000016764,471,79,0.16772823779193205
20,0.7,0.0,0.05,0.12,3001790.5,1790.5,94,9,0.09574468085106383
10,0.6,0.0,0.07,0.08,3000000.0,0.0,51,0,0.0
10,0.6,0.0,0.07,0.12,3000000.0,0.0,51,0,0.0
10,0.6,0.0,0.07,0.16,3000000.0,0.0,51,0,0.0
10,0.6,0.0,0.07,0.2,3000000.0,0.0,51,0,0.0
10,0.65,-0.03,0.07,0.08,3000000.0,0.0,16,0,0.0
10,0.65,-0.03,0.07,0.12,3000000.0,0.0,16,0,0.0
10,0.65,-0.03,0.07,0.16,3000000.0,0.0,16,0,0.0
10,0.65,-0.03,0.07,0.2,3000000.0,0.0,16,0,0.0
10,0.65,-0.02,0.07,0.08,3000000.0,0.0,16,0,0.0
10,0.65,-0.02,0.07,0.12,3000000.0,0.0,16,0,0.0
10,0.65,-0.02,0.07,0.16,3000000.0,0.0,16,0,0.0
10,0.65,-0.02,0.07,0.2,3000000.0,0.0,16,0,0.0
10,0.65,-0.01,0.07,0.08,3000000.0,0.0,16,0,0.0
10,0.65,-0.01,0.07,0.12,3000000.0,0.0,16,0,0.0
10,0.65,-0.01,0.07,0.16,3000000.0,0.0,16,0,0.0
10,0.65,-0.01,0.07,0.2,3000000.0,0.0,16,0,0.0
10,0.65,0.0,0.05,0.08,3000000.0,0.0,53,0,0.0
10,0.65,0.0,0.05,0.12,3000000.0,0.0,53,0,0.0
10,0.65,0.0,0.05,0.16,3000000.0,0.0,53,0,0.0
10,0.65,0.0,0.05,0.2,3000000.0,0.0,53,0,0.0
10,0.65,0.0,0.07,0.08,3000000.0,0.0,16,0,0.0
10,0.65,0.0,0.07,0.12,3000000.0,0.0,16,0,0.0
10,0.65,0.0,0.07,0.16,3000000.0,0.0,16,0,0.0
10,0.65,0.0,0.07,0.2,3000000.0,0.0,16,0,0.0
10,0.7,-0.03,0.05,0.08,3000000.0,0.0,10,0,0.0
10,0.7,-0.03,0.05,0.12,3000000.0,0.0,10,0,0.0
10,0.7,-0.03,0.05,0.16,3000000.0,0.0,10,0,0.0
10,0.7,-0.03,0.05,0.2,3000000.0,0.0,10,0,0.0
10,0.7,-0.03,0.07,0.08,3000000.0,0.0,1,0,0.0
10,0.7,-0.03,0.07,0.12,3000000.0,0.0,1,0,0.0
10,0.7,-0.03,0.07,0.16,3000000.0,0.0,1,0,0.0
10,0.7,-0.03,0.07,0.2,3000000.0,0.0,1,0,0.0
10,0.7,-0.02,0.05,0.08,3000000.0,0.0,10,0,0.0
10,0.7,-0.02,0.05,0.12,3000000.0,0.0,10,0,0.0
10,0.7,-0.02,0.05,0.16,3000000.0,0.0,10,0,0.0
10,0.7,-0.02,0.05,0.2,3000000.0,0.0,10,0,0.0
10,0.7,-0.02,0.07,0.08,3000000.0,0.0,1,0,0.0
10,0.7,-0.02,0.07,0.12,3000000.0,0.0,1,0,0.0
10,0.7,-0.02,0.07,0.16,3000000.0,0.0,1,0,0.0
10,0.7,-0.02,0.07,0.2,3000000.0,0.0,1,0,0.0
10,0.7,-0.01,0.05,0.08,3000000.0,0.0,10,0,0.0
10,0.7,-0.01,0.05,0.12,3000000.0,0.0,10,0,0.0
10,0.7,-0.01,0.05,0.16,3000000.0,0.0,10,0,0.0
10,0.7,-0.01,0.05,0.2,3000000.0,0.0,10,0,0.0
10,0.7,-0.01,0.07,0.08,3000000.0,0.0,1,0,0.0
10,0.7,-0.01,0.07,0.12,3000000.0,0.0,1,0,0.0
10,0.7,-0.01,0.07,0.16,3000000.0,0.0,1,0,0.0
10,0.7,-0.01,0.07,0.2,3000000.0,0.0,1,0,0.0
10,0.7,0.0,0.05,0.08,3000000.0,0.0,10,0,0.0
10,0.7,0.0,0.05,0.12,3000000.0,0.0,10,0,0.0
10,0.7,0.0,0.05,0.16,3000000.0,0.0,10,0,0.0
10,0.7,0.0,0.05,0.2,3000000.0,0.0,10,0,0.0
10,0.7,0.0,0.07,0.08,3000000.0,0.0,1,0,0.0
10,0.7,0.0,0.07,0.12,3000000.0,0.0,1,0,0.0
10,0.7,0.0,0.07,0.16,3000000.0,0.0,1,0,0.0
10,0.7,0.0,0.07,0.2,3000000.0,0.0,1,0,0.0
15,0.65,0.0,0.07,0.08,3000000.0,0.0,48,0,0.0
15,0.65,0.0,0.07,0.12,3000000.0,0.0,48,0,0.0
15,0.65,0.0,0.07,0.16,3000000.0,0.0,48,0,0.0
15,0.65,0.0,0.07,0.2,3000000.0,0.0,48,0,0.0
15,0.7,-0.03,0.07,0.08,3000000.0,0.0,4,0,0.0
15,0.7,-0.03,0.07,0.12,3000000.0,0.0,4,0,0.0
15,0.7,-0.03,0.07,0.16,3000000.0,0.0,4,0,0.0
